Country,Year,total_population
India,2023,
India,2022,
India,2021,
India,2020,
India,2019,1366418000.0
India,2018,1352617328.0
India,2017,1338658835.0
India,2016,1324509589.0
India,2015,1310152403.0
India,2014,1295604184.0
India,2013,1280846129.0
India,2012,1265782790.0
India,2011,1250288729.0
India,2010,1234281170.0
India,2009,1217726215.0
India,2008,1200669765.0
India,2007,1183209472.0
India,2006,1165486291.0
India,2005,1147609927.0
India,2004,1129623456.0
India,2003,1111523144.0
India,2002,1093317189.0
India,2001,1075000085.0
India,2000,1056575549.0
India,1999,1038058156.0
India,1998,1019483581.0
India,1997,1000900030.0
India,1996,982365243.0
India,1995,963922588.0
India,1994,945601831.0
India,1993,927403860.0
India,1992,909307016.0
India,1991,891273209.0
India,1990,873277798.0
India,1989,855334678.0
India,1988,837468930.0
India,1987,819682102.0
India,1986,801975244.0
India,1985,784360008.0
India,1984,766833410.0
India,1983,749428958.0
India,1982,732239504.0
India,1981,715384993.0
India,1980,698952844.0
India,1979,682995354.0
India,1978,667499806.0
India,1977,652408776.0
India,1976,637630087.0
India,1975,623102897.0
India,1974,608802600.0
India,1973,594770134.0
India,1972,581087256.0
India,1971,567868018.0
India,1970,555189792.0
India,1969,
India,1968,
India,1967,
India,1966,
India,1965,
India,1964,
India,1963,
India,1962,
India,1961,
India,1960,
Pakistan,2023,
Pakistan,2022,
Pakistan,2021,
Pakistan,2020,
Pakistan,2019,216565000.0
Pakistan,2018,212215030.0
Pakistan,2017,207896686.0
Pakistan,2016,203627284.0
Pakistan,2015,199426964.0
Pakistan,2014,195306825.0
Pakistan,2013,191262919.0
Pakistan,2012,187281475.0
Pakistan,2011,183340592.0
Pakistan,2010,179424641.0
Pakistan,2009,175525609.0
Pakistan,2008,171648986.0
Pakistan,2007,167808105.0
Pakistan,2006,164022627.0
Pakistan,2005,160304008.0
Pakistan,2004,156664697.0
Pakistan,2003,153093373.0
Pakistan,2002,149549700.0
Pakistan,2001,145978402.0
Pakistan,2000,142343578.0
Pakistan,1999,138624621.0
Pakistan,1998,134843233.0
Pakistan,1997,131057431.0
Pakistan,1996,127349290.0
Pakistan,1995,123776839.0
Pakistan,1994,120362762.0
Pakistan,1993,117086685.0
Pakistan,1992,113911126.0
Pakistan,1991,110778648.0
Pakistan,1990,107647921.0
Pakistan,1989,104512881.0
Pakistan,1988,101389603.0
Pakistan,1987,98285755.0
Pakistan,1986,95215378.0
Pakistan,1985,92191510.0
Pakistan,1984,89213706.0
Pakistan,1983,86285935.0
Pakistan,1982,83431605.0
Pakistan,1981,80680459.0
Pakistan,1980,78054343.0
Pakistan,1979,75561131.0
Pakistan,1978,73197258.0
Pakistan,1977,70958169.0
Pakistan,1976,68834326.0
Pakistan,1975,66816877.0
Pakistan,1974,64905998.0
Pakistan,1973,63099406.0
Pakistan,1972,61381987.0
Pakistan,1971,59734481.0
Pakistan,1970,58142060.0
Pakistan,1969,
Pakistan,1968,
Pakistan,1967,
Pakistan,1966,
Pakistan,1965,
Pakistan,1964,
Pakistan,1963,
Pakistan,1962,
Pakistan,1961,
Pakistan,1960,
